timeToMaturityDays,liquidityScale,lltv,depth,oracleDisplacement,manipulationAchievableOnCurve,bindingConstraint,oraclePriceExceedsRedemptionCeiling,maxUpwardDisplacementAvailable,displacementRequiredForInsolvency,displacementInsolvencyReachable,manipulationCost,attackCapitalRequired,attackerOwnCapital,additionalBorrowCapacity,totalDebt,effectiveLeverage,manipulatedCollateralMark,referenceCollateralMark,realizableCollateralMark,oracleOvervaluation,liquidationValue,liquidationProfitable,liquidationLoss,protocolShortfall,attackerPnL,attackerNetOfManipulationCost,solventUnderReferenceMark,solventUnderRealizableMark
365,0.25,0.86,20,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,2774.5743516072325,57499.94354256683,8.548245510646725,67751.23416715319,64524.98492109827,64006.81213211975,3226.2492460549183,0,false,64524.98492109827,0,-3080.334833696739,-3080.334833696739,true,true
365,0.25,0.86,20,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,7613.860903647175,81781.91392734316,11.72885351776367,97386.59295362656,88533.26632147869,87818.76731463581,8853.326632147873,0,false,88533.26632147869,0,-4407.957066109137,-4407.957066109137,true,true
365,0.25,0.915,1,0,true,,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,0,6768.588233303023,1.889622806203742,14263.498038866608,14263.498038866608,14150.165560812231,0,6768.588233303023,true,7494.909805563585,0,-288.6809301928479,-288.6809301928479,true,true
365,0.25,0.915,1,0.01,true,,false,0.10789118092244898,0.09289617486338786,true,4667.9376787506335,184513.7274944415,7548.330805512461,131.12522569042812,6836.274115636054,1.8985158610233903,14473.932016102039,14330.625758516871,14216.758268206711,143.30625758516726,6836.274115636054,true,7494.351642880817,0,-290.9925767250825,-4958.930255475716,true,true
365,0.25,0.915,1,0.02,true,,false,0.10789118092244898,0.09289617486338786,true,11866.861964487936,337733.05573871214,7548.330805512461,263.478879956263,6903.959997969085,1.9074088529029394,14685.708063135933,14397.753003074444,14283.35048903972,287.95506006148935,0,false,14397.753003074444,0,-293.304693977695,-12160.16665846563,true,true
365,0.25,0.915,1,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,667.9102837829832,7107.017644968175,1.934087450871286,15329.088480265138,14599.131885966797,14483.124231966323,729.9565942983409,0,false,14599.131885966797,0,-300.2438702872687,-300.2438702872687,true,true
365,0.25,0.915,1,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,1366.529977592898,7445.447056633326,1.9785505217348986,16428.229238821717,14934.753853474287,14816.070737014832,1493.4753853474303,0,false,14934.753853474287,0,-311.81858068666224,-311.81858068666224,true,true
365,0.25,0.915,3,0,true,,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,0,18524.172481427886,3.4340184525100876,25921.107271780125,25921.107271780125,25714.63278333243,0,18524.172481427886,true,7396.934790352239,0,-691.1821175390587,-691.1821175390587,true,true
365,0.25,0.915,3,0.01,true,,false,0.10789118092244898,0.09289617486338786,true,4667.9376787506335,184513.7274944415,7548.330805512461,240.41690587760604,18881.28220840083,3.48091152303823,26537.8223974189,26275.07168061277,26065.761911041198,262.75071680612746,18881.28220840083,true,7393.789472211942,0,-703.576675817405,-5371.5143545680385,true,true
365,0.25,0.915,3,0.02,true,,false,0.10789118092244898,0.09289617486338786,true,11866.861964487936,337733.05573871214,7548.330805512461,487.3926726678037,19242.883916144223,3.5283932391124377,27166.148968369398,26633.47938075431,26421.29830962799,532.669587615088,0,false,26633.47938075431,0,-716.1361780124007,-12582.998142500337,true,true
365,0.25,0.915,3,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,1268.9071419308857,20354.960437560167,3.6744117273195007,29122.45899513514,27735.67523346204,27514.66146625755,1386.7837616731013,0,false,27735.67523346204,0,-754.8190968984709,-754.8190968984709,true,true
365,0.25,0.915,3,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,2714.2975140570925,22301.2425911198,3.929935567195648,32630.8990760962,29664.453705542,29427.973422992007,2966.4453705542,0,false,29664.453705542,0,-822.7284963515622,-822.7284963515622,true,true
365,0.25,0.915,10,0,true,,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,0,45739.89124784039,7.006114596585599,52884.47063635758,52884.47063635758,52460.809860571855,0,45739.89124784039,true,7144.579388517195,0,-1648.2866102495673,-1648.2866102495673,true,true
365,0.25,0.915,10,0.01,true,,false,0.10789118092244898,0.09289617486338786,true,4667.9376787506335,184513.7274944415,7548.330805512461,503.59248752528947,47914.921377060906,7.29133787968595,55587.8046339397,55037.43033063337,54596.323445559436,550.3743033063292,47914.921377060906,true,7122.508953572462,0,-1726.6600602213693,-6394.597738972003,true,true
365,0.25,0.915,10,0.02,true,,false,0.10789118092244898,0.09289617486338786,true,11866.861964487936,337733.05573871214,7548.330805512461,1048.7085818962514,50207.52674540381,7.591940703392385,58452.6094827415,57306.47988504068,56846.96961958691,1146.1295977008194,0,false,57306.47988504068,0,-1809.5594616545768,-13676.421426142513,true,true
365,0.25,0.915,10,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,2968.0905150511608,57858.13741151296,8.594786990996184,68120.11018150196,64876.29541095425,64355.2668251622,3243.8147705477168,0,false,64876.29541095425,0,-2088.3666135390586,-2088.3666135390586,true,true
365,0.25,0.915,10,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,7364.376151146629,73644.33879083654,10.662620297411424,88533.48378427641,80484.9852584331,79836.51758141164,8048.498525843315,0,false,80484.9852584331,0,-2674.34397339937,-2674.34397339937,true,true
365,0.25,0.915,20,0,true,,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,0,63175.85495882564,9.292093821718474,70139.79804218958,70139.79804218958,69575.8786596219,0,63175.854958825636,true,6963.943083363942,0,-2280.2255912796527,-2280.2255912796527,true,true
365,0.25,0.915,20,0.01,true,,false,0.10789118092244898,0.09289617486338786,true,4667.9376787506335,184513.7274944415,7548.330805512461,685.6504006533651,68024.09769694184,9.927290144999548,75683.81471692795,74934.47001676034,74331.40453972692,749.3447001676104,68024.09769694184,true,6910.3723198185035,0,-2459.2518051221004,-7127.189483872734,true,true
365,0.25,0.915,20,0.02,true,,false,0.10789118092244898,0.09289617486338786,true,11866.861964487936,337733.05573871214,7548.330805512461,1468.2489397778554,73382.50910714128,10.629129084131948,81836.82615155207,80232.18250152163,79585.77683285253,1604.6436500304408,0,false,80232.18250152163,0,-2658.592064454583,-14525.45402894252,true,true
